Ticker|Name|CIK|SIC
TWOU|2U|0001459417|7372
MMM|3M|0000066740|3841
ABT|Abbott Laboratories|0000001800|2834
ABBV|AbbVie Inc.|0001551152|2834
ABMD|Abiomed|0000815094|3841
ACHC|Acadia Healthcare|0001520697|8093
ACN|Accenture|0001467373|7389
ATVI|Activision Blizzard|0000718877|7372
AYI|Acuity Brands|0001144215|3640
ADNT|Adient|0001670541|3714
ADBE|Adobe Systems|0000796343|7372
ADT|ADT Inc.|0001703056|7381
AAP|Advance Auto Parts|0001158449|5531
AMD|Advanced Micro Devices|0000002488|3674
ACM|AECOM|0000868857|8711
AES|AES Corporation|0000874761|4991
AMG|Affiliated Managers Group|0001004434|6282
AFL|Aflac|0000004977|6321
AGCO|AGCO|0000880266|3523
A|Agilent Technologies|0001090872|3826
AGIO|Agios Pharmaceuticals|0001439222|2834
AGNC|American Capital Agency|0001423689|6798
AL|Air Lease Corporation|0001487712|7359
APD|Air Products & Chemicals|0000002969|2810
AKAM|Akamai Technologies|0001086222|7389
ALK|Alaska Air Group|0000766421|4512
ALB|Albemarle Corporation|0000915913|2821
AA|Alcoa|0001675149|3334
ARE|Alexandria Real Estate Equities|0001035443|6798
ALXN|Alexion Pharmaceuticals|0000899866|2834
ALGN|Align Technology|0001097149|3842
ALKS|Alkermes|0001520262|2834
Y|Alleghany Corporation|0000775368|6331
ALLE|Allegion|0001579241|7381
AGN|Allergan|0001578845|2834
ADS|Alliance Data Systems|0001101215|7389
LNT|Alliant Energy|0000352541|4931
ALSN|Allison Transmission|0001411207|3714
ALL|Allstate|0000899051|6331
ALLY|Ally Financial|0000040729|6022
ALNY|Alnylam Pharmaceuticals|0001178670|2834
GOOGL|Alphabet Inc. CL A|0001652044|7370
GOOG|Alphabet Inc. CL C|0001652044|7370
MO|Altria|0000764180|2111
AMZN|Amazon|0001018724|5961
AMCX|AMC Networks|0001514991|4841
DOX|Amdocs|0001062579|7371
UHAL|AMERCO|0000004457|7510
AEE|Ameren|0001002910|4931
AAL|American Airlines|0000006201|4512
ACC|American Campus Communities|0001283630|6798
AEP|American Electric Power|0000004904|4911
AXP|American Express|0000004962|6199
AFG|American Financial Group|0001042046|6331
AMH|American Homes 4 Rent|0001562401|6798
AIG|American International Group|0000005272|6331
ANAT|American National Insurance Company|0000904163|6311
AMT|American Tower|0001053507|6798
AWK|American Water Works|0001410636|4941
AMP|Ameriprise Financial|0000820027|6282
ABC|AmerisourceBergen|0001140859|5122
AME|Ametek|0001037868|3621
AMGN|Amgen|0000318154|2836
APH|Amphenol|0000820313|3678
ADI|Analog Devices|0000006281|3674
NLY|Annaly Capital Management|0001043219|6798
ANSS|Ansys|0001013462|7372
AR|Antero Resources|0001433270|1311
ANTM|Anthem|0001156039|6324
AON|AON|0000315293|6411
APA|Apache Corporation|0000006769|1311
AIV|Aimco|0000922864|6798
APY|Apergy Corporation|0001723089|3530
APLE|Apple Hospitality Reit|0001418121|6798
AAPL|Apple Inc.|0000320193|3571
AMAT|Applied Materials|0000006951|3674
ATR|Aptargroup|0000896622|3089
APTV|Aptiv|0001521332|3714
WTR|Aqua America|0000078128|4941
ARMK|Aramark|0001584509|5812
ACGL|Arch Capital Group|0000947484|6331
ADM|Archer Daniels Midland|0000007084|2070
ARNC|Arconic|0000004281|3350
ARD|Ardagh Group|0001689662|3221
ANET|Arista Networks|0001596532|3576
AWI|Armstrong World Industries|0000007431|3089
ARW|Arrow Electronics|0000007536|5065
